user_id,used_before,age_group,gender,time,freq_use,style,style,style,style,style,style,style,style,style,color,color,color,color,color,color,color,color,color,mbti,purpose,purpose,purpose,purpose,purpose,purpose,purpose, 
39,Yes,30s,M,morning,weekly,casual,,,,,,,,,,black,"beige, brown",blue,,,,,,ESTP,,mood_boost,,,,,,below_50k
40,Yes,40s,M,morning,daily,casual,,,"classic, suit",,,,,,white,black,,blue,"pink, coral",,,,,ESTP,good_impression,mood_boost,self_satisfaction,,formal_occasion,,unique_style,50k_to_100k
41,Yes,30s,M,morning,rarely,casual,,,,,,,"modern, chic",,white,black,"beige, brown",,,,,,,ESTP,,mood_boost,,,,special_event,,below_50k
42,Yes,30s,F,morning,weekly,casual,,,"classic, suit",,,,,,,black,"beige, brown",,,,,,,ISFP,good_impression,mood_boost,,,,,,below_50k
43,Yes,30s,M,anytime,weekly,casual,,,,,,,,freestyle,,black,"beige, brown",,,,,,,INFP,good_impression,mood_boost,self_satisfaction,date_or_social,,,unique_style,100k_to_200k
44,Yes,50s,M,morning,weekly,,,street,,,vintage,,,,,,,blue,,red,"green, mint",,"yellow, orange",ENFP,,mood_boost,self_satisfaction,,,special_event,,50k_to_100k
45,Yes,30s,F,morning,weekly,,"minimal, simple",,"classic, suit",,,,,,white,black,"beige, brown",,,red,,,,INFJ,good_impression,,,date_or_social,,special_event,,below_50k
46,Yes,30s,F,morning,weekly,casual,"minimal, simple",street,,,vintage,sporty,"modern, chic",freestyle,white,,"beige, brown",,,,,,,ISTP,,mood_boost,,,formal_occasion,,,below_50k
47,Yes,50s,M,morning,weekly,casual,,,"classic, suit",,,,,,white,black,"beige, brown",,,,,,,ENFP,good_impression,,,,formal_occasion,,,below_50k
48,Yes,50s,M,morning,daily,casual,,,"classic, suit",,,,,,white,black,,,,,,,,INTJ,,,self_satisfaction,,,,,50k_to_100k
49,Yes,30s,M,morning,rarely,casual,,,"classic, suit",,,,,,,black,"beige, brown",,,,,,,ISTJ,good_impression,,self_satisfaction,,,special_event,,50k_to_100k
50,Yes,50s,F,morning,weekly,casual,,,,,,,,,,black,,,,,,purple,,INFP,good_impression,mood_boost,,,,,,50k_to_100k
51,Yes,40s,M,morning,daily,casual,,,,,,,,,,black,,,,,,,,INTJ,good_impression,,,,,,,below_50k
52,Yes,30s,M,morning,weekly,casual,,,"classic, suit",,,,,,white,black,"beige, brown",,,,,,,ENTP,good_impression,mood_boost,,,,,,below_50k
53,Yes,30s,M,anytime,daily,casual,,,"classic, suit",,,,,,white,black,"beige, brown",,,,,,,ESTJ,good_impression,mood_boost,self_satisfaction,date_or_social,,,,above_200k
54,Yes,40s,M,morning,rarely,,,,"classic, suit",,,,,,,,"beige, brown",,,,,,,ISFP,good_impression,,,,,,,50k_to_100k
55,Yes,50s,M,morning,rarely,casual,,,,,,,,,,,,blue,,,,,"yellow, orange",ISTJ,good_impression,,self_satisfaction,,,,,below_50k
56,Yes,40s,M,morning,weekly,,,,"classic, suit",,,,,,white,,,,,,,,,ESFJ,,mood_boost,,,,,,50k_to_100k
57,Yes,30s,F,morning,rarely,casual,"minimal, simple",,,,,,,,,,"beige, brown",blue,,,"green, mint",,"yellow, orange",ISFJ,,mood_boost,,,,,,below_50k
58,Yes,40s,M,morning,weekly,,,,,,,,"modern, chic",,white,,,,"pink, coral",,,,,ESTJ,,,self_satisfaction,,,,,100k_to_200k
59,Yes,30s,F,morning,daily,casual,,,,,,,,freestyle,white,black,,,"pink, coral",,,,"yellow, orange",ESTJ,good_impression,mood_boost,self_satisfaction,,formal_occasion,,,100k_to_200k
60,Yes,30s,M,morning,rarely,,,,"classic, suit",,,,,,white,black,,,,,,,,ENTJ,good_impression,,,date_or_social,,,,100k_to_200k
61,Yes,50s,M,morning,weekly,,,,,,,,,freestyle,,black,,blue,,,"green, mint",,,ESFP,good_impression,,,,formal_occasion,,,50k_to_100k
62,Yes,40s,M,morning,weekly,casual,,street,,"romantic, lovely",,,,,white,black,"beige, brown",,,,,,,ESTJ,good_impression,mood_boost,self_satisfaction,,,,,100k_to_200k
63,Yes,40s,M,morning,weekly,,,,"classic, suit",,,,,freestyle,,,"beige, brown",,,,,,,ENTJ,good_impression,mood_boost,self_satisfaction,,,,,50k_to_100k
64,Yes,30s,M,morning,daily,casual,,,,,,sporty,,freestyle,,black,,blue,,,"green, mint",,,ENFJ,good_impression,mood_boost,,,,,,above_200k
65,Yes,30s,M,morning,daily,casual,"minimal, simple",,"classic, suit",,,,,,white,black,"beige, brown",blue,,,,,,ESTJ,good_impression,mood_boost,self_satisfaction,,,,,50k_to_100k
66,Yes,40s,M,morning,daily,casual,,,,,,,,,,black,,,,,,,,ISTJ,,,self_satisfaction,,,,,100k_to_200k
67,Yes,30s,F,morning,daily,,,,,,,,,freestyle,,,"beige, brown",,"pink, coral",,"green, mint",,,ESFJ,,,self_satisfaction,,formal_occasion,,,below_50k
68,Yes,40s,M,morning,weekly,casual,,,,,,sporty,,,,black,"beige, brown",,,,,,,ISTJ,,mood_boost,self_satisfaction,,,,,50k_to_100k
69,Yes,40s,M,morning,daily,casual,"minimal, simple",,,,,,,,,black,"beige, brown",,,,,,,ESFJ,good_impression,,self_satisfaction,,formal_occasion,special_event,,50k_to_100k
70,Yes,30s,F,morning,daily,casual,,,,,,,,,white,,"beige, brown",blue,"pink, coral",red,"green, mint",purple,,INTJ,good_impression,,self_satisfaction,,,,,50k_to_100k
71,Yes,40s,F,morning,daily,,,,,,,,"modern, chic",,white,black,,,,,,,,ISFJ,,mood_boost,,,,,,50k_to_100k
72,Yes,40s,M,morning,rarely,casual,,,,,,,,,white,black,"beige, brown",,,,,,,ESTJ,good_impression,mood_boost,self_satisfaction,,,,,50k_to_100k
73,Yes,30s,F,morning,weekly,casual,,,"classic, suit",,,,,,,black,"beige, brown",,,,,,,INFJ,good_impression,,self_satisfaction,,,,,50k_to_100k
74,Yes,30s,M,morning,daily,casual,"minimal, simple",,,,,,,,white,,,blue,"pink, coral",,"green, mint",,,INFP,good_impression,,self_satisfaction,,,,unique_style,100k_to_200k
75,Yes,40s,M,morning,daily,,"minimal, simple",,,,,,,,,black,,,,,,,,ISTP,,,self_satisfaction,,,,,50k_to_100k
76,Yes,50s,M,morning,rarely,casual,"minimal, simple",,,,,,,,white,black,"beige, brown",,,,,,,ISTJ,good_impression,,,,,special_event,,100k_to_200k
77,Yes,30s,M,morning,weekly,,,,"classic, suit",,,,,,,black,,,,,,,,ESFP,,,self_satisfaction,date_or_social,,,,50k_to_100k
78,Yes,40s,M,anytime,weekly,casual,"minimal, simple",,,,,sporty,,,white,black,,,,,,,,ESTJ,,mood_boost,,date_or_social,formal_occasion,,,50k_to_100k
79,Yes,20s,F,morning,daily,,"minimal, simple",,,,,,,,white,black,,blue,,,,,,ISFJ,,,self_satisfaction,,,,,50k_to_100k
80,Yes,30s,M,morning,weekly,,,street,"classic, suit",,,,,,,,"beige, brown",,,,,,,ESFP,,,self_satisfaction,date_or_social,,,,50k_to_100k
81,Yes,30s,M,anytime,weekly,casual,,,"classic, suit",,,,"modern, chic",,white,black,,blue,,,,purple,,ENFJ,good_impression,,self_satisfaction,date_or_social,formal_occasion,,,100k_to_200k
82,Yes,30s,M,morning,daily,casual,,,,,,,,,,,,blue,,,,,,ISFJ,good_impression,mood_boost,,,,,,50k_to_100k
83,Yes,40s,M,morning,weekly,casual,,street,"classic, suit",,,,,,,black,"beige, brown",,,,,,,ISTJ,good_impression,,,,formal_occasion,,,50k_to_100k
84,Yes,30s,F,afternoon,weekly,casual,,,,,,,,,white,,,,,,,,,ESFP,good_impression,,,,,,,below_50k
85,Yes,50s,M,morning,seasonal,casual,,,,,,,,,white,,"beige, brown",,,,,,,ESTP,,mood_boost,,,,,,below_50k
86,Yes,40s,M,morning,daily,casual,"minimal, simple",,,,,,,,,black,"beige, brown",blue,,,,,,ENTJ,good_impression,mood_boost,self_satisfaction,,,,,100k_to_200k
87,Yes,40s,M,afternoon,rarely,casual,,,,,,,,,white,black,,,,,,,,INTJ,,,,date_or_social,,,,50k_to_100k
88,Yes,40s,M,morning,daily,,"minimal, simple",,,,,,,,,,"beige, brown",,,,,,,ISTJ,good_impression,,,,,,,above_200k
89,Yes,30s,F,morning,daily,,"minimal, simple",,"classic, suit",,,,,,white,,,,,,,,,ESFJ,,mood_boost,,,,,,50k_to_100k
90,Yes,40s,M,morning,rarely,casual,,,"classic, suit",,,,,,white,black,,blue,,,,,,ISTP,good_impression,,,,,,,below_50k
91,Yes,40s,M,morning,daily,casual,,,,,,,,,white,black,"beige, brown",,,,,,,ENTP,,,self_satisfaction,,,,,50k_to_100k
92,Yes,40s,M,morning,rarely,casual,"minimal, simple",,,,,,,,white,black,"beige, brown",blue,,,,,,INTJ,,,,,,special_event,,50k_to_100k
93,Yes,40s,M,morning,rarely,,,,"classic, suit",,,,,,,black,"beige, brown",,,,,,,ENFJ,good_impression,,,,,,,100k_to_200k
94,No,40s,M,,,,,,,,,,,freestyle,white,black,"beige, brown",,"pink, coral",,"green, mint",purple,"yellow, orange",ISTP,,,,date_or_social,,,,below_50k
95,Yes,30s,F,morning,daily,casual,,,"classic, suit",,,,,,,,,,,,"green, mint",,,ISFJ,good_impression,,self_satisfaction,,,,,50k_to_100k
96,Yes,40s,F,anytime,daily,casual,,,,,,,,,white,,,,,,,,,ESTJ,good_impression,,,,,,,below_50k
97,Yes,30s,F,morning,weekly,casual,"minimal, simple",,,,,,,,white,black,,blue,,,,,,ENFP,good_impression,mood_boost,self_satisfaction,date_or_social,,special_event,,50k_to_100k
98,Yes,40s,M,morning,seasonal,,,,"classic, suit",,,,,,white,black,"beige, brown",,,,,,,INFP,good_impression,,,,,,,50k_to_100k
99,Yes,50s,M,morning,weekly,casual,,,"classic, suit",,,,,,,,"beige, brown",blue,,,,purple,,ISTJ,good_impression,,,,formal_occasion,,,50k_to_100k
100,Yes,40s,M,morning,daily,casual,,,"classic, suit",,,,,,white,black,,,,,,purple,,ESFJ,good_impression,,,,,,unique_style,50k_to_100k
101,Yes,40s,M,morning,weekly,casual,,,"classic, suit",,,,,,white,black,"beige, brown",,,,,,,ISFJ,good_impression,,,,formal_occasion,,,50k_to_100k
102,Yes,40s,M,morning,rarely,casual,"minimal, simple",,"classic, suit",,,,,,white,black,"beige, brown",,,,,,,ISFJ,good_impression,,self_satisfaction,,,,,50k_to_100k
103,Yes,40s,M,morning,daily,,,,"classic, suit",,,,,,,black,"beige, brown",,,,,,,ESTJ,,,self_satisfaction,,,,,100k_to_200k
104,Yes,30s,M,morning,daily,casual,,,,,,,,,,black,,blue,,,,,,INFP,good_impression,,self_satisfaction,,,,,100k_to_200k
105,Yes,30s,M,morning,rarely,casual,,,,,,,,,white,black,"beige, brown",blue,,,,,,ESTP,,mood_boost,,,,special_event,,50k_to_100k
106,Yes,30s,F,morning,daily,casual,,,,,,,,,,black,,,,,,,,ESTJ,,mood_boost,self_satisfaction,,,,,above_200k
107,Yes,20s,F,morning,daily,,,,"classic, suit",,,,"modern, chic",,,black,,,,,,,,ISTJ,,mood_boost,,,,,,above_200k
108,No,30s,M,,,casual,,,,,,,,,white,black,,,,,,,,ISTJ,,,,,,special_event,,below_50k
109,Yes,40s,M,morning,daily,,,,"classic, suit",,,sporty,"modern, chic",freestyle,,black,,blue,"pink, coral",,"green, mint",,"yellow, orange",ESTJ,good_impression,mood_boost,self_satisfaction,date_or_social,formal_occasion,special_event,unique_style,100k_to_200k
110,Yes,40s,F,morning,daily,,"minimal, simple",,,,,,,,white,,,blue,,,"green, mint",,,ISTJ,good_impression,,self_satisfaction,,,,,above_200k
111,Yes,40s,M,morning,weekly,,,,"classic, suit",,,,"modern, chic",,,,"beige, brown",blue,,,,,,ESFJ,good_impression,,self_satisfaction,,,,,below_50k
112,Yes,50s,M,morning,rarely,casual,,,,,,,,freestyle,,black,"beige, brown",,,,,,,INFP,,,self_satisfaction,,,,,100k_to_200k
113,Yes,30s,F,morning,daily,,,,"classic, suit",,,,,,,,,,,,,purple,,ESTJ,,,self_satisfaction,,,,,100k_to_200k
114,Yes,50s,M,morning,rarely,casual,"minimal, simple",,"classic, suit",,,,,,,black,"beige, brown",blue,,,,,,INTJ,,mood_boost,self_satisfaction,,,,,50k_to_100k
115,Yes,30s,F,morning,daily,,"minimal, simple",,"classic, suit",,,,"modern, chic",,white,black,,,,,,,,ISTJ,,,self_satisfaction,,formal_occasion,,,above_200k
116,Yes,30s,M,afternoon,rarely,casual,,,,,,,,freestyle,,black,,,,,,,,INFJ,good_impression,,,date_or_social,,,,below_50k
117,Yes,40s,M,morning,rarely,casual,,,"classic, suit",,,,,,white,black,,,,,,,,INTJ,good_impression,,,,formal_occasion,,,50k_to_100k
118,Yes,30s,F,anytime,weekly,casual,,,,"romantic, lovely",vintage,,,,white,black,"beige, brown",blue,,,,,,INFJ,good_impression,mood_boost,self_satisfaction,date_or_social,,special_event,unique_style,50k_to_100k
119,Yes,20s,M,morning,rarely,,"minimal, simple",,,,,,,,white,black,"beige, brown",,,,"green, mint",,,ISFJ,good_impression,,,date_or_social,,special_event,,100k_to_200k
120,Yes,40s,M,morning,weekly,casual,,,"classic, suit",,,,,,white,black,"beige, brown",,,,,,,ESTJ,good_impression,,,,,,,50k_to_100k
121,Yes,40s,M,morning,daily,casual,,,,,,sporty,,,white,black,,,,,,,,INTP,good_impression,,,,,,,50k_to_100k
122,Yes,40s,M,morning,weekly,casual,,,,,,,,,white,,"beige, brown",,,,,,,ISTJ,,,self_satisfaction,,,,,50k_to_100k
123,Yes,30s,F,morning,daily,casual,,,,"romantic, lovely",,,,,,,,blue,,red,,purple,,ENFP,good_impression,mood_boost,,,,,,100k_to_200k
124,No,40s,M,,,casual,,,,,,,,,,black,,,,,,,,ISTP,,mood_boost,,,,,,below_50k
125,Yes,40s,M,evening,rarely,,,,,,,,,freestyle,,black,"beige, brown",,,,,,,ENTJ,good_impression,,,,,,,100k_to_200k
126,Yes,30s,F,morning,rarely,,,,,,,,,freestyle,white,black,,,,,,,,ISTP,,,,date_or_social,,,,50k_to_100k
127,Yes,30s,M,morning,daily,,"minimal, simple",,,,,,,,white,black,"beige, brown",,,,,,,INTJ,good_impression,,,,,,,100k_to_200k
128,Yes,30s,M,morning,daily,,"minimal, simple",,,,,,,,white,,"beige, brown",,,,,,,INFJ,,,,,formal_occasion,,,50k_to_100k
129,Yes,40s,F,afternoon,rarely,casual,,,,,,sporty,,,,black,,,,,,,,ESTJ,,mood_boost,,,,,,below_50k
130,Yes,40s,M,morning,weekly,casual,,,"classic, suit",,,,,,,,"beige, brown",,,,,,,INTJ,good_impression,,,,,,,50k_to_100k
131,Yes,40s,M,morning,weekly,casual,,,"classic, suit",,,,,,white,black,"beige, brown",,,,,,,ESTP,good_impression,,,,,,,50k_to_100k
132,Yes,30s,M,morning,weekly,,"minimal, simple",,,"romantic, lovely",,,,,,black,,,,,,,,ISTJ,good_impression,,,,,,,above_200k
133,Yes,30s,M,morning,weekly,casual,"minimal, simple",,,,,,,,white,black,"beige, brown",,,,,,,ISTP,good_impression,,,,,,,100k_to_200k
134,Yes,30s,M,afternoon,rarely,casual,,street,,,,sporty,"modern, chic",,,black,"beige, brown",,,,,,,ENTP,good_impression,,self_satisfaction,,formal_occasion,,unique_style,above_200k
135,Yes,30s,M,morning,weekly,casual,,,"classic, suit",,,,,freestyle,,black,"beige, brown",,,,,,,ESFP,good_impression,,,date_or_social,,,,50k_to_100k
136,Yes,30s,M,morning,rarely,casual,,street,,,,,,,white,black,"beige, brown",,,,,,,ISTP,good_impression,,,,,,,50k_to_100k
137,Yes,30s,F,morning,daily,casual,"minimal, simple",,,,,,,,,black,"beige, brown",,"pink, coral",,,,,ISTJ,good_impression,,self_satisfaction,,,,,50k_to_100k
138,Yes,40s,M,morning,daily,casual,,,"classic, suit",,,,,,,black,"beige, brown",,,,,,,ESFP,good_impression,mood_boost,self_satisfaction,,,,,50k_to_100k
139,Yes,30s,F,morning,daily,,"minimal, simple",,,,,,"modern, chic",,,black,"beige, brown",,,,,,,INTP,,,self_satisfaction,,,,unique_style,above_200k
140,Yes,30s,M,morning,seasonal,casual,,street,,,,sporty,,,white,black,"beige, brown",,,,,,,INTJ,,,,date_or_social,,,,100k_to_200k
141,Yes,20s,F,afternoon,rarely,casual,,,,,,,,,,,,,,,"green, mint",,,ESTJ,good_impression,,,,,,,50k_to_100k
142,Yes,40s,F,morning,weekly,casual,"minimal, simple",,,,,,,,white,black,,,"pink, coral",,,,,ISTP,good_impression,,,,,,,50k_to_100k
143,Yes,40s,M,morning,rarely,casual,,,"classic, suit",,,,,,,black,"beige, brown",,,,,,,ENFJ,good_impression,,self_satisfaction,,,,,below_50k
144,Yes,30s,M,morning,weekly,casual,,,,,,,,,white,,,,,,,,,ENTP,,,self_satisfaction,,,,,50k_to_100k
145,Yes,30s,F,morning,daily,,"minimal, simple",,,,,,,freestyle,,black,"beige, brown",,,red,,,,ENFJ,good_impression,,self_satisfaction,,,,,above_200k
146,Yes,30s,F,morning,daily,,,,,,,,,freestyle,white,black,,blue,,,,,,ISTJ,good_impression,,self_satisfaction,date_or_social,,,,above_200k
147,Yes,20s,M,afternoon,rarely,casual,,,,,vintage,,,,,,,blue,,red,"green, mint",,,INTJ,good_impression,mood_boost,,date_or_social,,,,below_50k
148,Yes,20s,M,morning,seasonal,casual,"minimal, simple",street,"classic, suit",,,,,,white,black,,blue,"pink, coral",,"green, mint",,"yellow, orange",ESTJ,good_impression,,self_satisfaction,,,,,100k_to_200k
149,Yes,40s,M,morning,weekly,casual,,,"classic, suit",,,,,,white,black,"beige, brown",,"pink, coral",,,,,ISTJ,good_impression,,,,,,,50k_to_100k
150,Yes,30s,F,morning,daily,casual,,,"classic, suit",,,,,,white,black,"beige, brown",,,,,,,ESFJ,good_impression,mood_boost,,,,,,100k_to_200k
151,Yes,30s,M,anytime,daily,casual,,,,,,,,,white,,,,,,,,,ESFJ,good_impression,,,,,,,below_50k
152,Yes,20s,F,morning,weekly,casual,,,"classic, suit","romantic, lovely",,,,,white,,"beige, brown",,"pink, coral",,,,,ENTP,,mood_boost,,,,,,100k_to_200k
153,Yes,30s,M,morning,weekly,,"minimal, simple",,,,,,,,,black,,,,,,,,ISTP,,,self_satisfaction,,,,,above_200k
154,Yes,30s,M,morning,daily,casual,,,"classic, suit",,vintage,,,freestyle,,black,"beige, brown",blue,,,,,,ENTJ,good_impression,mood_boost,self_satisfaction,date_or_social,formal_occasion,special_event,unique_style,50k_to_100k
155,Yes,30s,M,anytime,weekly,,"minimal, simple",,,,,,,,,black,"beige, brown",,,,,,,ENFP,good_impression,,,,formal_occasion,,,50k_to_100k
156,Yes,30s,M,anytime,daily,casual,,,,,,,"modern, chic",,white,black,,blue,,,,,,ENTJ,good_impression,,self_satisfaction,,,,,above_200k
157,Yes,30s,M,morning,weekly,casual,,,"classic, suit",,,,,,,black,"beige, brown",blue,,,,,,ESTJ,,mood_boost,,,formal_occasion,,,above_200k
158,Yes,20s,M,morning,weekly,casual,"minimal, simple",,,,,,,freestyle,white,black,"beige, brown",,,,,,,INTP,good_impression,,self_satisfaction,,,,,above_200k
159,Yes,20s,F,morning,daily,casual,"minimal, simple",street,,,,,"modern, chic",,,black,,,,,,purple,,ISTP,good_impression,,self_satisfaction,,formal_occasion,,,above_200k
160,Yes,20s,M,evening,rarely,casual,,,,,,,,,,black,"beige, brown",blue,,,"green, mint",,,ENFP,good_impression,mood_boost,,date_or_social,,,,above_200k
161,Yes,30s,M,anytime,rarely,casual,,,"classic, suit",,,,"modern, chic",,white,black,,,,,,,,ESTJ,good_impression,,,,,,,100k_to_200k
162,Yes,30s,F,morning,daily,,"minimal, simple",,,,,,"modern, chic",,white,black,,,,,"green, mint",,,ESFJ,good_impression,mood_boost,self_satisfaction,,,,unique_style,above_200k
163,Yes,40s,M,morning,weekly,casual,,,,,,sporty,"modern, chic",freestyle,,black,,,,,"green, mint",,"yellow, orange",ENTP,,mood_boost,self_satisfaction,,,,,above_200k
164,Yes,20s,F,morning,daily,,,,,,,,,freestyle,white,,,,,,,,,ISTJ,,,,,,,unique_style,above_200k
165,Yes,20s,F,afternoon,rarely,casual,"minimal, simple",,,,,,"modern, chic",,white,black,,blue,,,,purple,,ESTJ,good_impression,,,date_or_social,,special_event,,100k_to_200k
166,Yes,20s,F,anytime,daily,casual,,,"classic, suit",,,,"modern, chic",,white,black,"beige, brown",,,,,,,ESFJ,good_impression,mood_boost,,date_or_social,,special_event,unique_style,above_200k
167,Yes,20s,M,morning,daily,casual,"minimal, simple",,,,,,,,white,black,"beige, brown",,,,,,,ISFJ,good_impression,,self_satisfaction,,formal_occasion,,,below_50k
168,Yes,30s,M,anytime,weekly,casual,"minimal, simple",,,,,sporty,,,white,black,,,,,,,,ISTJ,good_impression,,,date_or_social,,special_event,,above_200k
169,Yes,30s,M,morning,daily,,,,"classic, suit","romantic, lovely",,,,,,,,,"pink, coral",red,,,,INFP,good_impression,mood_boost,,,,,,50k_to_100k
170,Yes,40s,M,morning,daily,casual,"minimal, simple",,,,,,,,white,black,,,,,,,,ENTP,,mood_boost,self_satisfaction,,,,,100k_to_200k
171,Yes,20s,F,morning,weekly,casual,"minimal, simple",,,,,,,,white,,"beige, brown",,,,,purple,,ENFP,,mood_boost,,date_or_social,,,,50k_to_100k
172,Yes,30s,M,morning,daily,,,,,,,,,freestyle,white,black,"beige, brown",,,,"green, mint",,,ESTP,,,self_satisfaction,,,,,above_200k
173,Yes,40s,M,morning,daily,casual,,,"classic, suit",,,sporty,,freestyle,white,black,,blue,,,"green, mint",,,ENTJ,good_impression,,self_satisfaction,,,,,above_200k
174,Yes,30s,M,morning,rarely,,"minimal, simple",,,,,,,,white,black,,,,,,,,ISFP,,mood_boost,,,,,,50k_to_100k
