user_id,age_group,gender,mbti,purpose,fashionstyle,prefercolor
37,20s,M,ISFP,"good_impression, mood_boost, self_satisfaction, formal_occasion","casual, classic, suit, freestyle",black
38,50s,M,INTJ,good_impression,"minimal, simple, sports",purple
39,40s,M,NONE,good_impression,casual,black
40,20s,F,ISTP,good_impression,street,"pink, coral"
41,30s,F,INFJ,"good_impression, mood_boost, self_satisfaction","casual, romantic, lovely",black
42,30s,F,ISTJ,"good_impression, mood_boost, self_satisfaction, date_or_social, formal_occasion, special_event, unique_style","casual, minimal, simple, romantic, lovely, modern, chic",white
43,30s,M,ISTJ,"good_impression, mood_boost",casual,black
44,40s,M,ENTJ,"good_impression, mood_boost",casual,black
45,50s,M,NONE,self_satisfaction,casual,gray
46,30s,M,ESTJ,"good_impression, mood_boost, self_satisfaction","casual, modern, chic",black
47,30s,F,ISTJ,mood_boost,casual,black
48,30s,M,ISFJ,"date_or_social, special_event","casual, minimal, simple","green, mint"
49,50s,F,INFP,special_event,casual,"beige, brown"
50,20s,F,ISTP,self_satisfaction,"minimal, simple",white
51,20s,F,ISTP,"mood_boost, self_satisfaction","casual, romantic, lovely","beige, brown"
52,20s,F,ISTP,"mood_boost, unique_style","classic, suit, modern, chic, freestyle",black
53,30s,M,INFJ,"good_impression, formal_occasion","casual, classic, suit","beige, brown"
54,40s,M,NONE,"mood_boost, formal_occasion",casual,black
55,30s,F,INFP,"mood_boost, self_satisfaction, unique_style",freestyle,black
56,40s,M,INFJ,"mood_boost, self_satisfaction","casual, minimal, simple",black
57,40s,M,ISTJ,mood_boost,street,"beige, brown"
58,30s,F,INTJ,"mood_boost, self_satisfaction","minimal, simple, street",black
59,40s,M,INFJ,"good_impression, mood_boost","classic, suit","beige, brown"
60,40s,M,INFJ,self_satisfaction,casual,"yellow, orange"
61,30s,,INFP,"mood_boost, self_satisfaction",freestyle,"pink, coral"
62,50s,F,ISTP,"good_impression, self_satisfaction",freestyle,black
63,30s,F,ISTP,mood_boost,casual,white
64,30s,F,ENFP,mood_boost,"modern, chic",black
65,30s,F,INFP,"good_impression, self_satisfaction","casual, minimal, simple, vintage, freestyle",black
66,30s,F,INFJ,"mood_boost, self_satisfaction","casual, modern, chic",purple
67,40s,F,INFJ,"good_impression, mood_boost",street,"yellow, orange"
68,30s,M,INFJ,good_impression,"casual, vintage","green, mint"
69,30s,F,ESFJ,"mood_boost, self_satisfaction","minimal, simple, modern, chic",black
70,30s,M,ISFJ,mood_boost,"classic, suit","beige, brown"
71,30s,F,ENFJ,"date_or_social, unique_style","casual, sports, freestyle",black
72,20s,F,INFJ,"mood_boost, self_satisfaction","casual, minimal, simple",black
73,30s,M,ISTJ,"good_impression, date_or_social",freestyle,black
74,20s,M,INTP,good_impression,"casual, freestyle",black
75,30s,F,ISTP,"good_impression, mood_boost","minimal, simple","yellow, orange"
76,30s,M,ISTJ,good_impression,"casual, minimal, simple",black
77,10s,M,INFP,"good_impression, mood_boost, self_satisfaction, date_or_social",freestyle,black
78,20s,F,INFJ,"mood_boost, self_satisfaction",casual,white
79,20s,,NONE,"good_impression, mood_boost, self_satisfaction","casual, minimal, simple",black
80,20s,M,ISFJ,"good_impression, date_or_social","casual, street",blue
81,30s,F,INFJ,good_impression,casual,"beige, brown"
82,30s,F,INTJ,good_impression,"classic, suit, romantic, lovely",white
83,20s,,ENTJ,"good_impression, mood_boost",freestyle,white
84,20s,F,ISTP,good_impression,casual,black
85,30s,F,INTJ,"good_impression, self_satisfaction","casual, minimal, simple","beige, brown"
86,30s,M,INTJ,"good_impression, mood_boost",street,"beige, brown"
87,30s,F,ESFP,good_impression,freestyle,"yellow, orange"
88,50s,M,NONE,"good_impression, mood_boost","casual, freestyle",black
89,30s,F,ISFJ,good_impression,"classic, suit","pink, coral"
90,20s,F,ISTP,"mood_boost, self_satisfaction","casual, romantic, lovely",white
91,20s,,ISFP,"good_impression, self_satisfaction, date_or_social, unique_style","minimal, simple, classic, suit, romantic, lovely, freestyle","beige, brown"
92,20s,M,INTJ,good_impression,"classic, suit, modern, chic","beige, brown"
93,40s,M,NONE,good_impression,freestyle,"beige, brown"
94,30s,F,INTP,"good_impression, date_or_social","casual, minimal, simple",black
95,30s,M,ISTP,"mood_boost, date_or_social",casual,"beige, brown"
96,20s,F,ESFJ,"mood_boost, self_satisfaction, date_or_social","casual, romantic, lovely, modern, chic",black
97,30s,M,ESTP,good_impression,"casual, minimal, simple, classic, suit",black
98,20s,F,ISFP,"good_impression, mood_boost, self_satisfaction, date_or_social",casual,blue
99,20s,F,INTJ,good_impression,"minimal, simple, modern, chic",purple
100,40s,F,NONE,mood_boost,freestyle,"beige, brown"
101,30s,F,ESTP,"self_satisfaction, formal_occasion","casual, classic, suit, vintage, freestyle",black
102,20s,F,ENFP,good_impression,"casual, minimal, simple, street, romantic, lovely","green, mint"
103,20s,F,ESFJ,"mood_boost, self_satisfaction","casual, romantic, lovely","beige, brown"
104,10s,F,INTP,good_impression,casual,black
105,40s,M,ISFJ,good_impression,casual,"beige, brown"
106,40s,F,NONE,self_satisfaction,casual,black
107,20s,F,ISTP,"good_impression, date_or_social","casual, minimal, simple, freestyle",white
108,40s,F,INTP,mood_boost,casual,black
109,20s,F,NONE,formal_occasion,"minimal, simple, classic, suit",black
110,20s,F,ISFP,"good_impression, self_satisfaction","romantic, lovely, freestyle",white
111,50s,M,INFJ,self_satisfaction,"casual, minimal, simple, freestyle",black
112,20s,F,ISTP,"mood_boost, self_satisfaction, formal_occasion, special_event","street, romantic, lovely, freestyle",black
113,40s,M,INTJ,good_impression,"casual, classic, suit",blue
114,40s,M,NONE,"good_impression, special_event, unique_style","minimal, simple, vintage","green, mint"
115,30s,F,INTJ,self_satisfaction,"casual, street, vintage, sports, freestyle",black
116,20s,F,ISFP,"mood_boost, self_satisfaction","casual, minimal, simple","green, mint"
117,30s,F,ENTJ,"mood_boost, formal_occasion","minimal, simple, sports",black
118,20s,M,ISTP,good_impression,casual,black
119,50s,M,NONE,good_impression,"minimal, simple","beige, brown"
120,40s,F,ISFP,self_satisfaction,casual,"beige, brown"
121,30s,M,INFJ,"good_impression, mood_boost, formal_occasion","casual, minimal, simple","green, mint"
122,10s,F,INTJ,"good_impression, self_satisfaction",freestyle,"beige, brown"
123,10s,F,ISTP,"good_impression, formal_occasion","casual, modern, chic",black
124,30s,F,ENTJ,"good_impression, formal_occasion","casual, minimal, simple, classic, suit, romantic, lovely, modern, chic, freestyle",white
125,20s,F,INFP,"good_impression, mood_boost, self_satisfaction","casual, modern, chic",white
126,30s,F,ISTP,"good_impression, date_or_social",casual,purple
127,40s,M,ESTJ,self_satisfaction,"minimal, simple",white
128,20s,F,INFP,"good_impression, mood_boost, unique_style","casual, minimal, simple, vintage, modern, chic",black
129,20s,M,ENFP,"good_impression, self_satisfaction, formal_occasion","casual, minimal, simple, classic, suit, modern, chic, freestyle",black
130,30s,F,INFJ,self_satisfaction,"casual, modern, chic, freestyle","green, mint"
131,50s,M,INTJ,"date_or_social, formal_occasion, special_event","casual, minimal, simple, vintage, sports, freestyle","beige, brown"
132,30s,F,ISFP,"mood_boost, self_satisfaction, date_or_social","casual, minimal, simple",purple
133,40s,F,ISFP,"mood_boost, self_satisfaction","casual, vintage, freestyle",black
134,30s,F,INTP,self_satisfaction,"casual, minimal, simple, classic, suit, modern, chic, freestyle",white
135,50s,M,NONE,good_impression,casual,"beige, brown"
136,30s,F,ENFP,"good_impression, mood_boost, unique_style","romantic, lovely, vintage","beige, brown"
137,30s,M,INTJ,"good_impression, date_or_social, formal_occasion, special_event, unique_style","casual, minimal, simple, classic, suit, freestyle",black
138,30s,F,ISFP,mood_boost,freestyle,white
139,30s,F,ESTJ,"mood_boost, self_satisfaction",casual,blue
140,20s,F,ISFJ,"good_impression, unique_style","casual, minimal, simple, modern, chic",white
141,20s,F,ESTJ,good_impression,"casual, romantic, lovely",purple
142,20s,M,ISFJ,"date_or_social, special_event","casual, minimal, simple",white
143,50s,M,INFJ,"good_impression, formal_occasion","casual, sports",black
144,20s,F,INFP,good_impression,"casual, minimal, simple",black
145,20s,M,INFP,good_impression,casual,"white, green, mint"
146,30s,F,ENFJ,good_impression,"minimal, simple, romantic, lovely","white, beige, brown, purple"
147,40s,F,ESTJ,"mood_boost, self_satisfaction, date_or_social, formal_occasion","casual, street, romantic, lovely, freestyle",white
148,20s,F,ISTP,"mood_boost, self_satisfaction","casual, street",black
149,30s,F,INFP,"good_impression, self_satisfaction","casual, classic, suit","white, black, beige, brown"
150,40s,M,NONE,self_satisfaction,casual,white
151,30s,M,ENFP,"good_impression, date_or_social","minimal, simple, classic, suit","black, blue, purple"
152,50s,F,ISTP,"good_impression, mood_boost, self_satisfaction","minimal, simple, modern, chic, freestyle","white, black, beige, brown"
153,30s,F,INTJ,good_impression,casual,"pink, coral, yellow, orange"
154,30s,M,ISTP,"mood_boost, date_or_social",casual,"white, black, blue"
155,20s,F,INFJ,mood_boost,"casual, minimal, simple","beige, brown, blue, pink, coral"
156,20s,F,INFJ,"mood_boost, self_satisfaction, date_or_social","minimal, simple, modern, chic","black, beige, brown"
157,50s,M,NONE,good_impression,casual,black
158,40s,F,NONE,"mood_boost, date_or_social","casual, classic, suit, freestyle","beige, brown, pink, coral, yellow, orange"
159,30s,M,NONE,"self_satisfaction, formal_occasion","casual, minimal, simple","beige, brown"
160,10s,M,INTJ,self_satisfaction,casual,black
161,40s,M,ENTP,"good_impression, formal_occasion",casual,"beige, brown"
162,10s,F,ISTP,self_satisfaction,freestyle,"black, red"
163,50s,M,NONE,"good_impression, self_satisfaction","classic, suit","beige, brown"
164,40s,M,ENFP,"mood_boost, formal_occasion","minimal, simple, classic, suit","black, green, mint"
165,30s,F,ESFJ,self_satisfaction,freestyle,"white, black, beige, brown, red, yellow, orange"
166,40s,M,NONE,"good_impression, mood_boost, self_satisfaction",casual,"white, black"
167,40s,F,INFJ,good_impression,casual,white
168,30s,M,ISFP,"good_impression, date_or_social",casual,"white, black"
169,30s,F,ISFJ,"good_impression, mood_boost, self_satisfaction","casual, sports, freestyle","white, black"
170,30s,F,INFJ,"good_impression, mood_boost, date_or_social, special_event","casual, minimal, simple, romantic, lovely","black, beige, brown, pink, coral, purple, yellow, orange"
171,30s,F,INTP,"mood_boost, self_satisfaction, special_event","casual, minimal, simple, modern, chic","black, blue"
172,30s,M,ESTJ,"good_impression, mood_boost, self_satisfaction","casual, minimal, simple, classic, suit","white, black, beige, brown, blue"
173,40s,F,ISTJ,special_event,casual,"black, beige, brown"
174,30s,F,INFP,"good_impression, mood_boost","casual, romantic, lovely","beige, brown, pink, coral, yellow, orange"
175,50s,F,NONE,mood_boost,casual,"white, pink, coral"
176,20s,F,ISFJ,special_event,"casual, minimal, simple","white, black, beige, brown"
177,20s,F,ISFJ,good_impression,"minimal, simple, street","white, black, beige, brown"
178,20s,,ISTP,"mood_boost, self_satisfaction, date_or_social, formal_occasion, special_event",vintage,blue
179,20s,M,NONE,"mood_boost, self_satisfaction, unique_style","modern, chic","black, beige, brown"
180,40s,M,INTJ,self_satisfaction,"minimal, simple, classic, suit","white, black"
181,30s,M,NONE,good_impression,"minimal, simple","white, blue"
182,20s,F,INTJ,self_satisfaction,casual,"white, black, beige, brown"
183,30s,M,ISTP,special_event,casual,"white, black"
184,30s,M,ENFP,"formal_occasion, unique_style","classic, suit, modern, chic","beige, brown, blue"
185,20s,F,NONE,mood_boost,freestyle,"white, black, beige, brown, blue"
186,20s,M,ESTJ,"good_impression, mood_boost, self_satisfaction","minimal, simple",white
187,30s,F,INFJ,good_impression,casual,blue
188,20s,F,INFP,"good_impression, mood_boost, self_satisfaction, date_or_social, special_event","casual, romantic, lovely","white, beige, brown, pink, coral, green, mint"
189,50s,M,NONE,good_impression,"romantic, lovely",black
190,40s,M,INFJ,"good_impression, unique_style",casual,"beige, brown"
191,20s,M,INFP,"good_impression, special_event","casual, modern, chic","black, blue, purple"
192,30s,M,NONE,"good_impression, special_event","casual, minimal, simple, freestyle","beige, brown"
193,40s,F,ISTJ,"good_impression, mood_boost, self_satisfaction, date_or_social, formal_occasion","casual, minimal, simple, sports, freestyle","white, black, beige, brown"
194,30s,M,ESTJ,formal_occasion,"modern, chic","beige, brown"
195,40s,F,INFP,mood_boost,casual,"black, beige, brown"
196,30s,M,ISFP,good_impression,casual,black
197,20s,F,INFP,"good_impression, mood_boost, self_satisfaction","casual, minimal, simple, vintage","black, blue, green, mint"
198,20s,F,INFJ,"mood_boost, self_satisfaction","casual, minimal, simple, romantic, lovely, modern, chic, freestyle","black, beige, brown, blue, pink, coral, purple, yellow, orange"
199,40s,F,NONE,"good_impression, self_satisfaction, special_event",casual,"black, beige, brown, blue"
200,30s,M,INTP,mood_boost,"casual, street, vintage","black, blue, pink, coral, green, mint, purple"
201,30s,M,ENTJ,"good_impression, self_satisfaction, formal_occasion","casual, street, modern, chic",black
202,30s,F,ISFP,good_impression,"romantic, lovely","pink, coral"
203,10s,M,ISTP,good_impression,casual,"white, black"
204,40s,F,NONE,good_impression,casual,"white, black"
205,40s,M,ISTJ,"mood_boost, self_satisfaction","casual, classic, suit, freestyle","white, black, beige, brown, blue"
206,30s,M,NONE,"good_impression, mood_boost, date_or_social",casual,"black, blue, yellow, orange"
207,20s,M,INTJ,"good_impression, self_satisfaction","casual, classic, suit","white, black"
208,50s,M,NONE,"mood_boost, self_satisfaction","casual, freestyle","black, blue"
209,50s,F,ESFP,mood_boost,"minimal, simple, modern, chic","white, beige, brown, blue, red"
210,30s,F,INTJ,date_or_social,"minimal, simple",blue
211,50s,F,ISFJ,"good_impression, mood_boost, self_satisfaction, date_or_social, formal_occasion, special_event","casual, minimal, simple, modern, chic","white, black, beige, brown, blue, pink, coral, green, mint"
212,30s,F,NONE,good_impression,"minimal, simple","beige, brown"
213,50s,M,NONE,"good_impression, self_satisfaction, date_or_social, formal_occasion, special_event","classic, suit","black, blue"
214,20s,F,ISFP,self_satisfaction,"casual, freestyle","white, beige, brown, blue, pink, coral"
215,30s,M,ISFP,date_or_social,"minimal, simple",white
216,20s,F,INTP,"good_impression, mood_boost, self_satisfaction","casual, street, sports","black, beige, brown, yellow, orange"
217,40s,F,NONE,date_or_social,"romantic, lovely, vintage","beige, brown, green, mint"
218,20s,F,INTP,"good_impression, mood_boost, self_satisfaction, unique_style",vintage,"black, blue"
219,30s,M,NONE,date_or_social,casual,black
220,40s,F,NONE,mood_boost,"casual, minimal, simple, freestyle","white, black, beige, brown, green, mint, yellow, orange"
221,30s,F,INTP,mood_boost,"minimal, simple","white, beige, brown"
222,20s,F,ISTP,"good_impression, self_satisfaction","casual, minimal, simple","white, black, beige, brown"
223,30s,M,ENFP,"mood_boost, self_satisfaction",casual,white
224,50s,M,NONE,good_impression,casual,"white, beige, brown"
225,20s,F,ISFP,"good_impression, self_satisfaction",freestyle,"white, black, blue, pink, coral"
226,20s,F,INTP,"good_impression, mood_boost","casual, minimal, simple","white, black, beige, brown"
227,40s,M,NONE,good_impression,casual,"yellow, orange"
228,30s,M,ESTP,"good_impression, mood_boost, self_satisfaction, unique_style","casual, minimal, simple, sports, modern, chic","yellow, orange"
229,50s,M,NONE,good_impression,casual,"beige, brown"
230,10s,F,ISTP,good_impression,casual,"white, black, blue, yellow, orange"
231,30s,F,ESTP,"mood_boost, self_satisfaction","casual, minimal, simple","white, black, pink, coral"
232,30s,,NONE,"good_impression, date_or_social","casual, freestyle","white, black, beige, brown"
233,40s,M,INTP,"date_or_social, special_event",casual,"white, black, beige, brown"
234,20s,M,ESTJ,"good_impression, date_or_social, special_event","casual, minimal, simple, classic, suit","white, black, beige, brown, green, mint"
235,40s,M,INTJ,self_satisfaction,"classic, suit","black, beige, brown"
236,20s,M,INFP,"good_impression, special_event",casual,"white, black"
237,10s,F,ISTP,"good_impression, formal_occasion","casual, minimal, simple, romantic, lovely, vintage","white, black, beige, brown, blue"
238,20s,F,INFP,"mood_boost, date_or_social, formal_occasion, special_event","casual, minimal, simple, romantic, lovely, freestyle","white, pink, coral, green, mint, yellow, orange"
239,40s,F,NONE,mood_boost,"romantic, lovely","pink, coral"
240,40s,F,INFP,date_or_social,casual,"black, pink, coral"
241,20s,M,INFP,good_impression,"casual, vintage","white, black, beige, brown"
242,40s,F,NONE,date_or_social,"minimal, simple, modern, chic","beige, brown"
243,30s,M,INFJ,mood_boost,casual,red
244,20s,F,ISFP,"good_impression, self_satisfaction","casual, minimal, simple, street, vintage, sports, freestyle","white, black, beige, brown, blue, purple"
245,40s,M,INFJ,"good_impression, special_event","casual, street","white, black, beige, brown"
246,30s,M,NONE,formal_occasion,"casual, classic, suit","black, beige, brown"
247,30s,M,ESTJ,"good_impression, formal_occasion","classic, suit","blue, green, mint"
248,20s,F,NONE,good_impression,casual,"blue, purple, yellow, orange"
249,20s,F,ISTJ,"mood_boost, self_satisfaction, special_event","casual, minimal, simple","white, black, beige, brown, blue, yellow, orange"
250,30s,F,ISFJ,"mood_boost, self_satisfaction","casual, minimal, simple","white, black, beige, brown, blue"
251,50s,F,NONE,"mood_boost, self_satisfaction","casual, freestyle","blue, green, mint, yellow, orange"
252,20s,F,ESTJ,"good_impression, self_satisfaction, unique_style","casual, minimal, simple, classic, suit, modern, chic, freestyle","white, black, beige, brown"
253,50s,M,ENFJ,"good_impression, self_satisfaction, formal_occasion","casual, freestyle","white, beige, brown, green, mint"
254,20s,F,NONE,self_satisfaction,casual,"green, mint"
255,40s,F,ISFJ,self_satisfaction,"modern, chic","white, black, purple"
256,40s,M,ISTJ,"good_impression, self_satisfaction",street,blue
257,30s,M,NONE,"good_impression, self_satisfaction","casual, minimal, simple","white, black, beige, brown, blue, green, mint"
258,30s,M,NONE,"good_impression, formal_occasion","minimal, simple, modern, chic","white, black, beige, brown, blue"
259,30s,M,NONE,date_or_social,casual,black
260,50s,M,INFJ,"good_impression, formal_occasion","minimal, simple, classic, suit, modern, chic",black
261,40s,F,NONE,"good_impression, mood_boost, self_satisfaction, date_or_social, formal_occasion, special_event","casual, minimal, simple, classic, suit, romantic, lovely","white, black"
262,20s,M,NONE,self_satisfaction,street,white
263,30s,M,NONE,"mood_boost, formal_occasion","minimal, simple, street","black, blue, green, mint, purple"
264,50s,F,NONE,"mood_boost, self_satisfaction","modern, chic","white, beige, brown"
265,40s,M,NONE,"good_impression, date_or_social, special_event","casual, minimal, simple, freestyle","white, black, green, mint"
266,30s,F,INFJ,"mood_boost, date_or_social, special_event","casual, minimal, simple, modern, chic","white, black, beige, brown, yellow, orange"
267,30s,M,ESTP,"good_impression, date_or_social","casual, vintage","white, black"
268,40s,M,NONE,special_event,freestyle,"black, blue"
269,20s,F,ISFP,"good_impression, mood_boost, self_satisfaction","casual, minimal, simple, romantic, lovely","white, beige, brown, purple"
270,30s,F,ESTJ,"good_impression, self_satisfaction, formal_occasion","casual, minimal, simple","white, black, green, mint"
271,20s,F,ISFJ,"mood_boost, self_satisfaction","casual, minimal, simple, freestyle",black
272,40s,F,NONE,"good_impression, mood_boost","casual, minimal, simple","white, beige, brown, pink, coral"
273,20s,F,ISTJ,"mood_boost, self_satisfaction","casual, minimal, simple","black, pink, coral"
274,40s,F,ENTP,mood_boost,"minimal, simple","beige, brown, green, mint"
275,20s,F,NONE,"good_impression, mood_boost, self_satisfaction","casual, minimal, simple","white, black, beige, brown, blue"
276,30s,F,ISTP,"good_impression, date_or_social","casual, romantic, lovely",white
277,20s,M,INTJ,"good_impression, unique_style",casual,"white, black, blue, yellow, orange"
278,30s,F,ISFP,"good_impression, unique_style","casual, romantic, lovely, freestyle","beige, brown, blue, pink, coral"
279,30s,F,ISTJ,self_satisfaction,"street, freestyle","white, beige, brown"
280,30s,M,INFJ,special_event,"casual, freestyle","white, black, beige, brown"
281,30s,F,INFJ,"good_impression, mood_boost, self_satisfaction","modern, chic, freestyle","black, blue"
282,10s,M,NONE,formal_occasion,"casual, modern, chic","white, black"
283,40s,M,INFP,self_satisfaction,casual,blue
284,30s,F,INFP,mood_boost,"minimal, simple, freestyle","white, beige, brown"
285,40s,M,ISTJ,"good_impression, mood_boost",casual,black
286,50s,M,NONE,good_impression,casual,"beige, brown"
287,30s,M,ISTJ,self_satisfaction,"minimal, simple, classic, suit, modern, chic","white, black, blue, pink, coral"
288,30s,F,ESFJ,mood_boost,casual,white
289,40s,F,INFJ,"good_impression, mood_boost","modern, chic","beige, brown"
290,30s,M,INTJ,"good_impression, mood_boost, self_satisfaction, special_event","casual, minimal, simple","white, black, beige, brown, green, mint"
291,40s,M,NONE,good_impression,casual,"beige, brown"
292,30s,M,ISTJ,"good_impression, self_satisfaction","casual, classic, suit","black, beige, brown, blue, purple"
293,20s,F,ISTP,self_satisfaction,"casual, freestyle","black, blue, pink, coral, purple, yellow, orange"
294,50s,F,NONE,"mood_boost, self_satisfaction","casual, freestyle","white, pink, coral, red"
295,20s,F,ISFP,"good_impression, self_satisfaction","casual, minimal, simple, street, modern, chic, freestyle","white, black, pink, coral"
296,40s,M,ISTP,special_event,freestyle,blue
297,30s,F,ENFJ,"mood_boost, self_satisfaction",casual,blue
298,50s,F,ENTJ,"good_impression, mood_boost, self_satisfaction, date_or_social, formal_occasion","classic, suit","white, black, pink, coral, green, mint"
299,40s,M,ENFJ,"good_impression, self_satisfaction",casual,"white, black, beige, brown"
300,50s,M,NONE,"mood_boost, special_event","minimal, simple","white, green, mint"
301,40s,F,INTJ,"mood_boost, date_or_social",casual,"beige, brown, green, mint"
302,20s,F,INTJ,"good_impression, self_satisfaction",casual,"white, black, blue"
303,20s,F,ISTP,"good_impression, mood_boost, self_satisfaction","casual, minimal, simple, street, classic, suit, modern, chic","white, black, beige, brown"
304,30s,M,NONE,special_event,freestyle,black
305,30s,M,ESFJ,"good_impression, mood_boost, self_satisfaction, date_or_social","casual, classic, suit","white, black, beige, brown"
306,40s,M,ISFJ,good_impression,"minimal, simple","beige, brown, pink, coral, red, yellow, orange"
307,30s,F,ISFJ,mood_boost,casual,"white, black"
308,30s,M,ESFJ,"good_impression, date_or_social","casual, minimal, simple","black, blue"
309,30s,F,ESTJ,mood_boost,casual,"white, black"
310,30s,F,ISFP,good_impression,casual,"white, black, beige, brown"
311,30s,M,INFP,"good_impression, formal_occasion","casual, street, classic, suit","white, black, beige, brown, blue"
312,40s,F,INTP,"good_impression, self_satisfaction, formal_occasion","casual, minimal, simple, classic, suit, modern, chic, freestyle","white, black, beige, brown"
313,40s,M,NONE,mood_boost,"minimal, simple",black
314,40s,F,INFP,"good_impression, formal_occasion, unique_style","minimal, simple, classic, suit, modern, chic","white, black"
315,20s,F,ISFJ,"good_impression, mood_boost, self_satisfaction","casual, minimal, simple, street, vintage, sports","white, black, beige, brown, blue, pink, coral, yellow, orange"
316,20s,F,ISTJ,"good_impression, mood_boost","casual, street","white, black, blue, green, mint"
317,30s,F,ISFP,good_impression,"minimal, simple","white, blue"
318,10s,F,ISFP,"good_impression, mood_boost, self_satisfaction, unique_style","casual, modern, chic",black
319,20s,F,ISFJ,"mood_boost, self_satisfaction","casual, minimal, simple, romantic, lovely","beige, brown"
320,20s,F,ESTP,"good_impression, self_satisfaction, formal_occasion","casual, street, vintage","black, green, mint, purple"
321,50s,M,NONE,self_satisfaction,"casual, sports, freestyle","white, black, blue"
322,10s,M,NONE,good_impression,freestyle,"white, black, beige, brown"
323,20s,M,INTJ,"good_impression, mood_boost, date_or_social",street,"white, black, beige, brown, blue"
324,40s,M,ENFJ,"good_impression, mood_boost, self_satisfaction",casual,"white, black, pink, coral, red"
325,40s,F,INFJ,"good_impression, self_satisfaction","romantic, lovely, modern, chic","white, beige, brown"
326,30s,M,NONE,"mood_boost, date_or_social","minimal, simple, romantic, lovely","white, pink, coral"
327,20s,F,ISTP,date_or_social,"classic, suit",black
328,20s,F,ISTP,"good_impression, mood_boost, self_satisfaction, date_or_social, special_event","romantic, lovely","white, pink, coral"
329,30s,M,ISFJ,"good_impression, date_or_social",street,"white, black"
330,30s,F,NONE,mood_boost,casual,"white, beige, brown"
331,20s,F,ISTP,"good_impression, mood_boost, self_satisfaction",casual,"white, black"
332,20s,F,INTP,"good_impression, mood_boost, formal_occasion","casual, romantic, lovely","pink, coral"
333,30s,F,INTP,mood_boost,"minimal, simple, romantic, lovely","white, beige, brown"
334,50s,M,NONE,"good_impression, mood_boost, self_satisfaction",casual,"beige, brown"
335,30s,F,INFP,mood_boost,"casual, romantic, lovely, vintage, freestyle","white, pink, coral, purple"
336,20s,F,ISFJ,"good_impression, mood_boost, self_satisfaction","minimal, simple, modern, chic","black, beige, brown"
337,50s,M,NONE,good_impression,casual,"white, black, blue"
338,40s,F,INFJ,"good_impression, mood_boost","casual, romantic, lovely, sports, modern, chic, freestyle","white, black, green, mint"
339,20s,F,NONE,"self_satisfaction, date_or_social","classic, suit, romantic, lovely, sports","white, black, blue, pink, coral, green, mint, purple"
340,20s,F,ISTJ,"good_impression, mood_boost",street,black
341,30s,F,ESTJ,"mood_boost, self_satisfaction",casual,white
342,30s,F,ISFP,"mood_boost, unique_style","casual, freestyle","white, black"
343,20s,F,INFJ,self_satisfaction,casual,"white, black, beige, brown"
