user_id,used_before,age_group,gender,time,freq_use,style,color,mbti
109,Yes,20s,F,anytime,rarely,"minimal , simple,classic , suit",black,
110,Yes,20s,F,anytime,weekly,"romantic , lovely,freestyle",white,ISFP
111,Yes,50s,M,afternoon,weekly,"casual,minimal , simple,freestyle",black,INFJ
112,Yes,20s,F,anytime,weekly,"street,romantic , lovely,freestyle",black,ISTP
113,Yes,40s,M,morning,weekly,"casual,classic , suit",blue,INTJ
114,Yes,40s,M,morning,weekly,"minimal , simple,vintage","green , mint",
115,Yes,30s,F,morning,daily,"casual,street,vintage,sports,freestyle",black,INTJ
116,Yes,20s,F,afternoon,rarely,"casual,minimal , simple","green , mint",ISFP
117,Yes,30s,F,anytime,seasonal,"minimal , simple,sports",black,ENTJ
118,No,20s,M,,none ,casual,black,ISTP
119,Yes,50s,M,morning,rarely,"minimal , simple","beige , brown",
120,Yes,40s,F,morning,rarely,casual,"beige , brown",ISFP
121,Yes,30s,M,morning,weekly,"casual,minimal , simple","green , mint",INFJ
122,Yes,10대,F,morning,rarely,freestyle,"beige , brown",INTJ
123,Yes,10대,F,afternoon,rarely,"casual,modern , chic",black,ISTP
124,Yes,30s,F,morning,weekly,"casual,minimal , simple,classic , suit,romantic , lovely,modern , chic,freestyle",white,ENTJ
125,Yes,20s,F,anytime,rarely,"casual,modern , chic",white,INFP
126,Yes,30s,F,afternoon,weekly,casual,purple,ISTP
127,Yes,40s,M,morning,daily,"minimal , simple",white,ESTJ
128,Yes,20s,F,anytime,rarely,"casual,minimal , simple,vintage,modern , chic",black,INFP
129,Yes,20s,M,anytime,daily,"casual,minimal , simple,classic , suit,modern , chic,freestyle",black,ENFP
130,Yes,30s,F,,none ,"casual,modern , chic,freestyle","green , mint",INFJ
131,Yes,50s,M,anytime,rarely,"casual,minimal , simple,vintage,sports,freestyle","beige , brown",INTJ
132,Yes,30s,F,afternoon,weekly,"casual,minimal , simple",purple,ISFP
133,Yes,40s,F,anytime,weekly,"casual,vintage,freestyle",black,ISFP
134,Yes,30s,F,anytime,daily,"casual,minimal , simple,classic , suit,modern , chic,freestyle",white,INTP
135,Yes,50s,M,afternoon,rarely,casual,"beige , brown",
136,Yes,30s,F,morning,weekly,"romantic , lovely,vintage","beige , brown",ENFP
137,Yes,30s,M,,none ,"casual,minimal , simple,classic , suit,freestyle",black,INTJ
138,Yes,30s,F,anytime,rarely,freestyle,white,ISFP
139,Yes,30s,F,morning,daily,casual,blue,ESTJ
140,Yes,20s,F,afternoon,rarely,"casual,minimal , simple,modern , chic",white,ISFJ
141,Yes,20s,F,anytime,rarely,"casual,romantic , lovely",purple,ESTJ
142,Yes,20s,M,morning,weekly,"casual,minimal , simple",white,ISFJ
143,Yes,50s,M,morning,daily,"casual,sports",black,INFJ
144,Yes,20s,F,anytime,rarely,"casual,minimal , simple",black,INFP
145,Yes,20s,M,afternoon,rarely,casual,"white,green , mint",INFP
146,Yes,30s,F,morning,weekly,"minimal , simple,romantic , lovely","white,beige , brown,purple",ENFJ
147,Yes,40s,F,anytime,daily,"casual,street,romantic , lovely,freestyle",white,ESTJ
148,Yes,20s,F,anytime,rarely,"casual,street",black,ISTP
149,Yes,30s,F,morning,weekly,"casual,classic , suit","white,black,beige , brown",INFP
150,Yes,40s,M,anytime,weekly,casual,white,
151,Yes,30s,M,evening,weekly,"minimal , simple,classic , suit","black,blue,purple",ENFP
152,Yes,50s,F,anytime,rarely,"minimal , simple,modern , chic,freestyle","white,black,beige , brown",ISTP
153,Yes,30s,F,morning,daily,casual,"pink , coral,yellow , orange",INTJ
154,Yes,30s,M,evening,rarely,casual,"white,black,blue",ISTP
155,Yes,20s,F,morning,rarely,"casual,minimal , simple","beige , brown,blue,pink , coral",INFJ
156,Yes,20s,F,anytime,rarely,"minimal , simple,modern , chic","black,beige , brown",INFJ
157,No,50s,M,,none ,casual,black,
158,Yes,40s,F,morning,rarely,"casual,classic , suit,freestyle","beige , brown,pink , coral,yellow , orange",
159,Yes,30s,M,anytime,daily,"casual,minimal , simple","beige , brown",
160,No,10대,M,,none ,casual,black,INTJ
161,Yes,40s,M,afternoon,rarely,casual,"beige , brown",ENTP
162,Yes,10대,F,anytime,rarely,freestyle,"black,red",ISTP
163,Yes,50s,M,morning,weekly,"classic , suit","beige , brown",
164,Yes,40s,M,anytime,weekly,"minimal , simple,classic , suit","black,green , mint",ENFP
165,Yes,30s,F,morning,daily,freestyle,"white,black,beige , brown,red,yellow , orange",ESFJ
166,Yes,40s,M,anytime,rarely,casual,"white,black",
167,Yes,40s,F,morning,rarely,casual,white,INFJ
168,Yes,30s,M,anytime,rarely,casual,"white,black",ISFP
169,Yes,30s,F,morning,daily,"casual,sports,freestyle","white,black",ISFJ
170,Yes,30s,F,anytime,rarely,"casual,minimal , simple,romantic , lovely","black,beige , brown,pink , coral,purple,yellow , orange",INFJ
171,Yes,30s,F,morning,weekly,"casual,minimal , simple,modern , chic","black,blue",INTP
172,Yes,30s,M,morning,daily,"casual,minimal , simple,classic , suit","white,black,beige , brown,blue",ESTJ
173,Yes,40s,F,,none ,casual,"black,beige , brown",ISTJ
174,Yes,30s,F,anytime,rarely,"casual,romantic , lovely","beige , brown,pink , coral,yellow , orange",INFP
175,Yes,50s,F,morning,rarely,casual,"white,pink , coral",
176,Yes,20s,F,afternoon,rarely,"casual,minimal , simple","white,black,beige , brown",ISFJ
177,Yes,20s,F,anytime,daily,"minimal , simple,street","white,black,beige , brown",ISFJ
178,Yes,20s,N,anytime,daily,vintage,blue,ISTP
179,Yes,20s,M,morning,weekly,"modern , chic","black,beige , brown",
180,Yes,40s,M,afternoon,rarely,"minimal , simple,classic , suit","white,black",INTJ
181,Yes,30s,M,morning,weekly,"minimal , simple","white,blue",
182,Yes,20s,F,anytime,rarely,casual,"white,black,beige , brown",INTJ
183,Yes,30s,M,morning,rarely,casual,"white,black",ISTP
184,Yes,30s,M,morning,daily,"classic , suit,modern , chic","beige , brown,blue",ENFP
185,Yes,20s,F,anytime,daily,freestyle,"white,black,beige , brown,blue",
186,Yes,20s,M,anytime,seasonal,"minimal , simple",white,ESTJ
187,Yes,30s,F,afternoon,rarely,casual,blue,INFJ
188,Yes,20s,F,morning,weekly,"casual,romantic , lovely","white,beige , brown,pink , coral,green , mint",INFP
189,Yes,50s,M,anytime,rarely,"romantic , lovely",black,
190,Yes,40s,M,morning,rarely,casual,"beige , brown",INFJ
191,Yes,20s,M,evening,weekly,"casual,modern , chic","black,blue,purple",INFP
192,Yes,30s,M,,none ,"casual,minimal , simple,freestyle","beige , brown",
193,Yes,40s,F,morning,weekly,"casual,minimal , simple,sports,freestyle","white,black,beige , brown",ISTJ
194,Yes,30s,M,morning,daily,"modern , chic","beige , brown",ESTJ
195,Yes,40s,F,morning,seasonal,casual,"black,beige , brown",INFP
196,Yes,30s,M,evening,rarely,casual,black,ISFP
197,Yes,20s,F,morning,weekly,"casual,minimal , simple,vintage","black,blue,green , mint",INFP
198,Yes,20s,F,anytime,weekly,"casual,minimal , simple,romantic , lovely,modern , chic,freestyle","black,beige , brown,blue,pink , coral,purple,yellow , orange",INFJ
199,Yes,40s,F,morning,rarely,casual,"black,beige , brown,blue",
200,Yes,30s,M,morning,weekly,"casual,street,vintage","black,blue,pink , coral,green , mint,purple",INTP
201,Yes,30s,M,anytime,daily,"casual,street,modern , chic",black,ENTJ
202,Yes,30s,F,morning,weekly,"romantic , lovely","pink , coral",ISFP
203,Yes,10대,M,morning,rarely,casual,"white,black",ISTP
204,Yes,40s,F,morning,weekly,casual,"white,black",
205,Yes,40s,M,morning,weekly,"casual,classic , suit,freestyle","white,black,beige , brown,blue",ISTJ
206,Yes,30s,M,anytime,rarely,casual,"black,blue,yellow , orange",
207,Yes,20s,M,anytime,rarely,"casual,classic , suit","white,black",INTJ
208,Yes,50s,M,morning,daily,"casual,freestyle","black,blue",
209,Yes,50s,F,anytime,weekly,"minimal , simple,modern , chic","white,beige , brown,blue,red",ESFP
210,Yes,30s,F,afternoon,rarely,"minimal , simple",blue,INTJ
211,Yes,50s,F,morning,weekly,"casual,minimal , simple,modern , chic","white,black,beige , brown,blue,pink , coral,green , mint",ISFJ
212,Yes,30s,F,morning,daily,"minimal , simple","beige , brown",
213,Yes,50s,M,anytime,daily,"classic , suit","black,blue",
214,Yes,20s,F,,none,"casual,freestyle","white,beige , brown,blue,pink , coral",ISFP
215,Yes,30s,M,morning,daily,"minimal , simple",white,ISFP
216,Yes,20s,F,,none ,"casual,street,sports","black,beige , brown,yellow , orange",INTP
217,Yes,40s,F,morning,daily,"romantic , lovely,vintage","beige , brown,green , mint",
218,Yes,20s,F,anytime,rarely,vintage,"black,blue",INTP
219,Yes,30s,M,afternoon,rarely,casual,black,
220,Yes,40s,F,,none ,"casual,minimal , simple,freestyle","white,black,beige , brown,green , mint,yellow , orange",
221,Yes,30s,F,morning,daily,"minimal , simple","white,beige , brown",INTP
222,Yes,20s,F,morning,daily,"casual,minimal , simple","white,black,beige , brown",ISTP
223,Yes,30s,M,afternoon,rarely,casual,white,ENFP
224,Yes,50s,M,morning,daily,casual,"white,beige , brown",
225,Yes,20s,F,afternoon,weekly,freestyle,"white,black,blue,pink , coral",ISFP
226,Yes,20s,F,morning,rarely,"casual,minimal , simple","white,black,beige , brown",INTP
227,Yes,40s,M,afternoon,rarely,casual,"yellow , orange",
228,Yes,30s,M,morning,daily,"casual,minimal , simple,sports,modern , chic","yellow , orange",ESTP
229,Yes,50s,M,morning,rarely,casual,"beige , brown",
230,Yes,10대,F,morning,rarely,casual,"white,black,blue,yellow , orange",ISTP
231,Yes,30s,F,anytime,daily,"casual,minimal , simple","white,black,pink , coral",ESTP
232,Yes,30s,N,morning,rarely,"casual,freestyle","white,black,beige , brown",
233,Yes,40s,M,anytime,rarely,casual,"white,black,beige , brown",INTP
234,Yes,20s,M,morning,rarely,"casual,minimal , simple,classic , suit","white,black,beige , brown,green , mint",ESTJ
235,Yes,40s,M,morning,daily,"classic , suit","black,beige , brown",INTJ
236,Yes,20s,M,afternoon,rarely,casual,"white,black",INFP
237,Yes,10대,F,anytime,rarely,"casual,minimal , simple,romantic , lovely,vintage","white,black,beige , brown,blue",ISTP
238,Yes,20s,F,anytime,rarely,"casual,minimal , simple,romantic , lovely,freestyle","white,pink , coral,green , mint,yellow , orange",INFP
239,Yes,40s,F,morning,rarely,"romantic , lovely","pink , coral",
240,Yes,40s,F,morning,rarely,casual,"black,pink , coral",INFP
241,Yes,20s,M,morning,seasonal,"casual,vintage","white,black,beige , brown",INFP
242,Yes,40s,F,morning,daily,"minimal , simple,modern , chic","beige , brown",
243,Yes,30s,M,anytime,weekly,casual,red,INFJ
244,No,20s,F,anytime,none ,"casual,minimal , simple,street,vintage,sports,freestyle","white,black,beige , brown,blue,purple",ISFP
245,Yes,40s,M,morning,weekly,"casual,street","white,black,beige , brown",INFJ
246,Yes,30s,M,morning,daily,"casual,classic , suit","black,beige , brown",
247,Yes,30s,M,morning,daily,"classic , suit","blue,green , mint",ESTJ
248,Yes,20s,F,anytime,weekly,casual,"blue,purple,yellow , orange",
249,Yes,20s,F,morning,rarely,"casual,minimal , simple","white,black,beige , brown,blue,yellow , orange",ISTJ
250,Yes,30s,F,anytime,weekly,"casual,minimal , simple","white,black,beige , brown,blue",ISFJ
251,Yes,50s,F,anytime,weekly,"casual,freestyle","blue,green , mint,yellow , orange",
252,Yes,20s,F,,none ,"casual,minimal , simple,classic , suit,modern , chic,freestyle","white,black,beige , brown",ESTJ
253,Yes,50s,M,morning,rarely,"casual,freestyle","white,beige , brown,green , mint",ENFJ
254,Yes,20s,F,anytime,weekly,casual,"green , mint",
255,Yes,40s,F,morning,weekly,"modern , chic","white,black,purple",ISFJ
256,Yes,40s,M,morning,weekly,street,blue,ISTJ
257,Yes,30s,M,evening,rarely,"casual,minimal , simple","white,black,beige , brown,blue,green , mint",
258,Yes,30s,M,morning,weekly,"minimal , simple,modern , chic","white,black,beige , brown,blue",
259,Yes,30s,M,anytime,rarely,casual,black,
260,Yes,50s,M,anytime,rarely,"minimal , simple,classic , suit,modern , chic",black,INFJ
261,Yes,40s,F,morning,daily,"casual,minimal , simple,classic , suit,romantic , lovely","white,black",
262,No,20s,M,afternoon,daily,street,white,
263,Yes,30s,M,morning,weekly,"minimal , simple,street","black,blue,green , mint,purple",
264,Yes,50s,F,afternoon,daily,"modern , chic","white,beige , brown",
265,Yes,40s,M,anytime,rarely,"casual,minimal , simple,freestyle","white,black,green , mint",
266,Yes,30s,F,morning,weekly,"casual,minimal , simple,modern , chic","white,black,beige , brown,yellow , orange",INFJ
267,Yes,30s,M,morning,rarely,"casual,vintage","white,black",ESTP
268,Yes,40s,M,afternoon,rarely,freestyle,"black,blue",
269,Yes,20s,F,morning,rarely,"casual,minimal , simple,romantic , lovely","white,beige , brown,purple",ISFP
270,Yes,30s,F,morning,daily,"casual,minimal , simple","white,black,green , mint",ESTJ
271,Yes,20s,F,morning,weekly,"casual,minimal , simple,freestyle",black,ISFJ
272,Yes,40s,F,afternoon,rarely,"casual,minimal , simple","white,beige , brown,pink , coral",
273,Yes,20s,F,morning,weekly,"casual,minimal , simple","black,pink , coral",ISTJ
274,Yes,40s,F,evening,rarely,"minimal , simple","beige , brown,green , mint",ENTP
275,Yes,20s,F,anytime,weekly,"casual,minimal , simple","white,black,beige , brown,blue",
276,Yes,30s,F,anytime,weekly,"casual,romantic , lovely",white,ISTP
277,Yes,20s,M,morning,rarely,casual,"white,black,blue,yellow , orange",INTJ
278,Yes,30s,F,morning,daily,"casual,romantic , lovely,freestyle","beige , brown,blue,pink , coral",ISFP
279,Yes,30s,F,anytime,daily,"street,freestyle","white,beige , brown",ISTJ
280,Yes,30s,M,morning,rarely,"casual,freestyle","white,black,beige , brown",INFJ
281,Yes,30s,F,anytime,daily,"modern , chic,freestyle","black,blue",INFJ
282,Yes,10대,M,anytime,rarely,"casual,modern , chic","white,black",
283,Yes,40s,M,morning,rarely,casual,blue,INFP
284,Yes,30s,F,morning,weekly,"minimal , simple,freestyle","white,beige , brown",INFP
285,Yes,40s,M,morning,weekly,casual,black,ISTJ
286,Yes,50s,M,morning,rarely,casual,"beige , brown",
287,Yes,30s,M,anytime,daily,"minimal , simple,classic , suit,modern , chic","white,black,blue,pink , coral",ISTJ
288,Yes,30s,F,morning,weekly,casual,white,ESFJ
289,Yes,40s,F,morning,weekly,"modern , chic","beige , brown",INFJ
290,No,30s,M,,none ,"casual,minimal , simple","white,black,beige , brown,green , mint",INTJ
291,Yes,40s,M,morning,weekly,casual,"beige , brown",
292,Yes,30s,M,morning,rarely,"casual,classic , suit","black,beige , brown,blue,purple",ISTJ
293,Yes,20s,F,morning,daily,"casual,freestyle","black,blue,pink , coral,purple,yellow , orange",ISTP
294,Yes,50s,F,anytime,rarely,"casual,freestyle","white,pink , coral,red",
295,Yes,20s,F,anytime,weekly,"casual,minimal , simple,street,modern , chic,freestyle","white,black,pink , coral",ISFP
296,Yes,40s,M,anytime,rarely,freestyle,blue,ISTP
297,Yes,30s,F,morning,weekly,casual,blue,ENFJ
298,Yes,50s,F,afternoon,rarely,"classic , suit","white,black,pink , coral,green , mint",ENTJ
299,Yes,40s,M,morning,rarely,casual,"white,black,beige , brown",ENFJ
300,Yes,50s,M,afternoon,rarely,"minimal , simple","white,green , mint",
301,Yes,40s,F,evening,rarely,casual,"beige , brown,green , mint",INTJ
302,Yes,20s,F,anytime,weekly,casual,"white,black,blue",INTJ
303,Yes,20s,F,morning,weekly,"casual,minimal , simple,street,classic , suit,modern , chic","white,black,beige , brown",ISTP
304,Yes,30s,M,morning,rarely,freestyle,black,
305,Yes,30s,M,morning,rarely,"casual,classic , suit","white,black,beige , brown",ESFJ
306,Yes,40s,M,morning,rarely,"minimal , simple","beige , brown,pink , coral,red,yellow , orange",ISFJ
307,Yes,30s,F,morning,rarely,casual,"white,black",ISFJ
308,Yes,30s,M,morning,rarely,"casual,minimal , simple","black,blue",ESFJ
309,Yes,30s,F,afternoon,rarely,casual,"white,black",ESTJ
310,Yes,30s,F,morning,rarely,casual,"white,black,beige , brown",ISFP
311,Yes,30s,M,morning,weekly,"casual,street,classic , suit","white,black,beige , brown,blue",INFP
312,Yes,40s,F,morning,daily,"casual,minimal , simple,classic , suit,modern , chic,freestyle","white,black,beige , brown",INTP
313,Yes,40s,M,morning,seasonal,"minimal , simple",black,
314,Yes,40s,F,anytime,daily,"minimal , simple,classic , suit,modern , chic","white,black",INFP
315,Yes,20s,F,morning,rarely,"casual,minimal , simple,street,vintage,sports","white,black,beige , brown,blue,pink , coral,yellow , orange",ISFJ
316,Yes,20s,F,morning,weekly,"casual,street","white,black,blue,green , mint",ISTJ
317,Yes,30s,F,morning,weekly,"minimal , simple","white,blue",ISFP
318,Yes,10대,F,morning,weekly,"casual,modern , chic",black,ISFP
319,Yes,20s,F,anytime,rarely,"casual,minimal , simple,romantic , lovely","beige , brown",ISFJ
320,Yes,20s,F,morning,weekly,"casual,street,vintage","black,green , mint,purple",ESTP
321,Yes,50s,M,afternoon,weekly,"casual,sports,freestyle","white,black,blue",
322,No,10대,M,,none ,freestyle,"white,black,beige , brown",
323,Yes,20s,M,morning,rarely,street,"white,black,beige , brown,blue",INTJ
324,Yes,40s,M,anytime,weekly,casual,"white,black,pink , coral,red",ENFJ
325,Yes,40s,F,anytime,daily,"romantic , lovely,modern , chic","white,beige , brown",INFJ
326,Yes,30s,M,morning,rarely,"minimal , simple,romantic , lovely","white,pink , coral",
327,Yes,20s,F,morning,rarely,"classic , suit",black,ISTP
328,Yes,20s,F,morning,rarely,"romantic , lovely","white,pink , coral",ISTP
329,Yes,30s,M,,rarely,street,"white,black",ISFJ
330,Yes,30s,F,afternoon,rarely,casual,"white,beige , brown",
331,Yes,20s,F,morning,rarely,casual,"white,black",ISTP
332,Yes,20s,F,morning,daily,"casual,romantic , lovely","pink , coral",INTP
333,Yes,30s,F,afternoon,weekly,"minimal , simple,romantic , lovely","white,beige , brown",INTP
334,Yes,50s,M,morning,weekly,casual,"beige , brown",
335,Yes,30s,F,anytime,rarely,"casual,romantic , lovely,vintage,freestyle","white,pink , coral,purple",INFP
336,Yes,20s,F,morning,daily,"minimal , simple,modern , chic","black,beige , brown",ISFJ
337,Yes,50s,M,anytime,rarely,casual,"white,black,blue",
338,Yes,40s,F,morning,weekly,"casual,romantic , lovely,sports,modern , chic,freestyle","white,black,green , mint",INFJ
339,Yes,20s,F,morning,seasonal,"classic , suit,romantic , lovely,sports","white,black,blue,pink , coral,green , mint,purple",
340,Yes,20s,F,morning,daily,street,black,ISTJ
341,Yes,30s,F,morning,weekly,casual,white,ESTJ
342,Yes,30s,F,anytime,daily,"casual,freestyle","white,black",ISFP
343,Yes,20s,F,anytime,rarely,casual,"white,black,beige , brown",INFJ
344,Yes,40s,M,anytime,daily,"casual,vintage",그레이,ENFJ
345,Yes,50s,F,,none ,"minimal , simple,modern , chic","white,beige , brown,pink , coral",
346,Yes,30s,M,morning,daily,"minimal , simple,street","beige , brown,blue,pink , coral",INFP
347,Yes,50s,M,morning,rarely,"minimal , simple","beige , brown",ISTJ
348,No,20s,M,,none ,"casual,minimal , simple","white,black",ISTJ
349,Yes,20s,F,morning,rarely,casual,white,
350,Yes,40s,F,morning,rarely,"minimal , simple","beige , brown,green , mint",INTP
351,Yes,20s,F,morning,daily,"romantic , lovely",blue,ISTP
352,Yes,50s,M,anytime,daily,"casual,classic , suit,romantic , lovely","white,black,blue,green , mint",
353,Yes,50s,F,morning,weekly,"romantic , lovely","pink , coral",INFP
354,Yes,30s,M,anytime,rarely,"casual,street,freestyle","white,black",ISTJ
355,Yes,30s,F,morning,weekly,"casual,minimal , simple,sports,modern , chic","white,black,beige , brown",INTJ
356,Yes,20s,F,,none ,freestyle,"white,black",INFJ
357,Yes,40s,F,morning,rarely,"casual,minimal , simple","white,pink , coral,purple",
358,Yes,20s,M,anytime,rarely,casual,"black,blue",INFP
359,Yes,30s,F,anytime,weekly,casual,"white,black",INTJ
360,Yes,40s,F,morning,weekly,casual,"white,black,beige , brown,blue,pink , coral,red,green , mint,yellow , orange",ISFJ
361,Yes,20s,F,morning,rarely,street,"beige , brown,green , mint",
